close,volume,day_of_week,hour,minute,EMA_20,EMA_50,EMA_100,EMA_200,Support_pct_change,Resistance_pct_change,Delta_Close_Sum_0,Delta_Close_Sum_1,Delta_Close_Sum_2,RSI,MACD,MACD_Signal,p_Delta_High_1,p_Delta_Low_1,p_Delta_High_2,p_Delta_Low_2,p_Delta_High_3,p_Delta_Low_3,relative_volume,VWAP,ATR,ADX,true_label,prediction,probability_score
174.6999969482422,45044.0,3,20,30,-0.276766583067797,-0.43181686264608743,-0.675399377672818,-1.1306802496178818,0.004114370521661062,0.00017175964061577032,-0.0002564757357995175,-0.0004532512212367198,0.0011784426084009685,65.85649289184785,-0.06005256320796093,-0.06030496498537165,0.0009167163301483138,0.0016327971484054985,0.0008027488219496989,0.0005733420196442917,0.001260896527339845,0.0006304482636699225,-0.7872804635589579,0.0024063543903372975,0.18787057059151785,48.4927488597429,1,0,0.039886039886039885
174.5399932861328,50841.0,3,20,35,-0.1056426427718975,-0.26115385933920265,-0.5051898598097182,-0.9610181140009502,0.004132304739028275,0.0,0.001033761695699428,0.000778626569938415,-0.0008859400688513672,55.86019951590287,-0.062377610197415834,-0.06071949402778049,0.0006300510490800066,0.0019187322418508066,0.001218059837189502,0.0004449593586284926,0.0018925379382668773,-4.3579039776987325e-05,-0.7599042280392722,0.002406479411042452,0.18787057059151785,37.219648669062984,1,0,0.039886039886039885
174.44500732421875,45161.0,3,20,40,-0.009641758871396178,-0.15965150929082483,-0.4020810484323931,-0.8574149167427265,0.0006914541687907416,-0.004643108183143598,-0.000111439400959511,0.0013082266774797201,-0.0003840417402752398,50.28375179814074,-0.055911144521360256,-0.05975782412649645,0.0013756174775838986,0.0011750649040780567,0.0016063265631264456,5.733754217154342e-05,0.0016053135089800013,0.0006306651273153585,-0.7867279330162973,0.0024066368611700196,0.18108476911272323,10.923062397419356,1,0,0.039886039886039885
174.65020751953125,67891.0,3,20,45,-0.19438081569018095,-0.3505437946188863,-0.5952558725816175,-1.0520418273581527,0.0001682702136559928,2.022819500794049e-05,0.00017473612762575804,0.0008793078863652111,-0.0010722699949909972,60.19420851384638,-0.06657690756910029,-0.061121640815017225,0.0025536831250783714,-0.00037303055628137925,0.001663759501178551,0.0002581650496698525,0.0017488613108707725,0.0005447473744987707,-0.6793858882754907,0.002406663685514028,0.19430650983537948,69.71959811233312,1,0,0.039886039886039885
174.5,105052.0,3,20,50,-0.039966315572371514,-0.1924799505743806,-0.43623551437610786,-0.892860832127127,0.0015508875805873925,8.092070437594809e-05,0.0024694055305796003,-0.0003532278226968796,-0.000584895397183113,50.56419683701441,-0.06219219720148317,-0.06133575209231042,0.002179839422084768,-0.0006309393468412242,0.00057304625811637,0.0013467855060659566,-0.0010302958152573743,0.0022896044846691093,-0.5038936874566122,0.002406476522473694,0.19859204973493302,30.149404702019417,1,0,0.09226190476190477
175.8466033935547,58396.0,0,20,30,0.2854323142587418,0.18801262561126464,-0.018745016262698755,-0.5052015514860955,-0.0006825587327211593,-0.004435850803039113,-0.0010497723877783281,-0.0009381379117371799,-0.00014517287533287807,20.924305574756588,0.014891371834011125,-0.04492406086903874,0.0005393812415228952,0.0016090471890145733,-0.00028352830338376365,0.0013608839438276528,0.0007371145116045356,0.0001133356819485847,-0.7242258669298663,0.0024205680238982862,0.18690054757254465,4.871739771874862,1,0,0.039886039886039885
175.91000366210938,67238.0,0,20,35,0.20088613658938925,0.1197255979563181,-0.08051864551407562,-0.5629440904881449,-0.0010232088683653415,-0.003410522743844396,-0.0018078667836055038,-0.0011933561224446118,-0.00011678042470980208,29.203983141927353,0.029550464177503954,-0.0300291558597302,2.840133229957102e-05,0.0021189298862890316,-0.000510443758929304,0.0010776611878921148,-0.00011333865416961757,0.0010765010844546743,-0.6824696698511945,0.0024205988030019374,0.18404279436383927,8.474049815909176,1,0,0.039886039886039885
175.8800048828125,60959.0,0,20,40,0.2088958762780635,0.1438528330471911,-0.04951947282677338,-0.527642372771453,-0.0010233833908588855,-0.0017055522279497144,-0.002034510149261605,-0.0003703700079454754,-0.0011090516941916861,27.281853257473216,0.043091815624990204,-0.01540496156278612,-0.00042566153742782325,0.0021472702332531713,2.840133229957102e-05,0.0005675071094249648,5.663572713096895e-05,0.001416671379105031,-0.7121221423073109,0.0024206651341236425,0.18404279436383927,5.986050811650065,1,0,0.039886039886039885
175.94000244140625,86216.0,0,20,45,0.1347175255239108,0.08056683231802708,-0.10734837733298264,-0.5817927678690182,0.0011931932306968602,-0.002319051440001582,-0.002261805291956305,5.505933555881987e-05,-0.0011662079611680497,34.40144673784775,0.04842393170741843,-0.0026391829087452096,-0.0006812098855820334,0.0017223418304968933,0.0005962468160316057,-5.683491881963577e-05,-0.0005989213191002122,0.002039894713661225,-0.5928463823416905,0.0024205883250751066,0.18321446010044642,0.3038605202245779,1,0,0.039886039886039885
176.0,328311.0,0,20,55,0.07150503971632816,0.023508784196991428,-0.15845490489311942,-0.6278998208364044,0.0,-0.0005113428289240056,0.00029398381100649053,-0.0012481635698235675,-0.0006826312602900516,44.26661842135638,0.03842524731362573,0.012026578123413359,0.0007386193531796137,0.000814830928651486,0.00045418166348300596,0.0008799499022812082,5.667426419067334e-05,0.001304286806733145,0.550443205054946,0.0024188331545629107,0.20285797119140625,135.7957835446487,1,0,0.09226190476190477
176.6999969482422,55075.0,2,20,30,-0.020651787132351274,-0.06787929175641239,-0.1042628727726651,-0.33247671026481385,0.000630558458736201,-0.001697896523647108,0.0004927024812481755,0.00018949562156183838,0.0011264065221066127,52.341655314083916,-0.051446206182873766,-0.03698175510438295,0.00016967635056031603,0.0005656453721120606,0.001078079366789505,0.0017530237499726764,0.0001981245875463237,0.0008207401723856645,-0.7399092338715391,0.002440775092728236,0.1736907958984375,24.661463634574126,1,0,0.039886039886039885
176.77999877929688,60905.0,2,20,35,-0.09106755931208,-0.1420818630930114,-0.18061589781098064,-0.40837427722675557,0.000339347944413745,-0.0010181733059403627,-0.00041890578274671436,0.001380163133205026,-0.000827338770258014,58.883023889256826,-0.05290061543243496,-0.04016552716999336,0.0,0.0007351969771323538,0.0030062323886703448,-0.0008507878269312343,0.00042467353222210426,0.0018965180484955405,-0.7123771564039234,0.0024408397172209894,0.17283412388392858,64.19857992639895,1,0,0.039886039886039885
176.80999755859375,49200.0,2,20,40,-0.1095362111223892,-0.16533238190399402,-0.20644408944235693,-0.43401113556319615,0.0006788396381593141,0.00016983936027174296,-0.0001358269978436091,0.0031638137809783893,-0.002073444122768758,61.187903927090126,-0.05583031885754508,-0.0432984855075037,0.0004978863786505768,0.0002376766430423163,0.002153612294614923,-0.0006234095338852787,0.0003113862327724811,0.0020095424980448745,-0.7676538230863317,0.002440970136261092,0.17283521379743302,215.5878114132835,1,0,0.039886039886039885
176.67999267578125,72844.0,2,20,45,0.01851927438627854,-0.033942106970272334,-0.07492555897380271,-0.30098131491237723,0.0006508822081544879,-0.0005098929950167978,0.0005315071643110387,0.0018153873428825677,-0.0011377556912985805,48.609824512646355,-0.047118667711458784,-0.04406252194829472,0.00016967635056031603,0.0006787917076077749,0.0012740642051981231,0.0002547955609066367,0.0010197016700564522,0.0013028704986658391,-0.6559954286361941,0.002440967609251702,0.16214970179966517,5.086567631148037,1,0,0.039886039886039885
176.82000732421875,106345.0,2,20,50,-0.10992438604634458,-0.16713492186238454,-0.2106839656804027,-0.4366079438140389,0.0006788012091049454,0.0001357084644595013,-0.00043018724065352527,0.001200559540301794,0.0004392565597485591,59.748497163784954,-0.05092559483463788,-0.04543513652556336,-5.652042488517509e-05,0.0008483241176277195,0.0015292494120664735,-0.001019528415606001,0.0002598926329896255,0.0020609166220556512,-0.49778751658772247,0.0024407772013405995,0.16572134835379465,11.711155885892248,1,0,0.235
176.94000244140625,97797.0,2,20,25,-0.5580276143051321,-0.9762703807182049,-1.0872936282368926,-0.9541665283375664,0.003730098637971566,-0.004408439505551081,0.001897329192996328,0.002383192832591463,0.0008598777002487861,77.8144927193525,-0.35896414143707034,-0.3100671097080935,0.0025208594986459586,-0.0008496793605709016,0.0028965439065202266,0.00011361544629291258,0.001761950405206964,0.0005343264641898064,-0.5381553035848371,0.0,0.23311505998883927,7.945525652320676,1,0,0.039886039886039885
177.14999389648438,127089.0,2,20,30,-0.694874396108645,-1.1397417638042953,-1.2715962697840268,-1.1525743218891478,0.004064187004972221,0.0018628385121340755,0.0023503150419188516,0.0021572996302773443,0.0006895881625309005,82.76295570916075,-0.3754947091470342,-0.32315262959588165,0.0022630489192892503,0.0003960810422560113,0.0039761257376200775,-2.834208427687772e-05,0.002297504486845687,-0.0003640152329311348,-0.39982432362233356,0.0,0.23525891985212052,11.557096499051523,1,0,0.235
177.0399932861328,116581.0,2,20,35,-0.5291715204468801,-0.9893591474349819,-1.1385937651862719,-1.0321998437610773,0.002457144339582881,0.002372076414956682,0.0021776775190654263,0.0035455039384568914,0.001025098440256363,70.37007558306608,-0.3753918891863748,-0.33360048151398025,0.00266018360984204,-5.665477722408865e-05,0.003947671768097251,-0.00048284182445046517,0.0019327856904812256,-0.0005684204573073993,-0.44944817782983004,0.0,0.2431150163922991,3.843720997600028,1,0,0.235
177.02999877929688,114260.0,2,20,40,-0.46973158374322566,-0.9409581841049715,-1.1062507581849843,-1.0120341395427772,0.0022369214257258203,-0.0027114669244648996,0.0017834456495761817,0.003291226285437468,0.0006554874353948815,69.44762467075962,-0.3702360793933792,-0.3409276010898601,0.0026033813386281825,-0.0014149074455013647,0.0034631577862229263,-0.001703207975459113,0.0013635901406425024,-0.0002273083698114719,-0.4604090615008996,0.0,0.2497286115373884,14.39977867770745,1,0,0.235
177.25,186257.0,2,20,45,-0.6240439659276547,-1.11543158501172,-1.2999895634646066,-1.219776301934985,0.0027081014743476728,0.0012696001190056418,0.0016137626692687619,0.0030069318138791473,0.0003139301948372143,77.33614213027228,-0.3795273676242914,-0.34864755439674633,0.00155385725102632,0.00019778873231907548,0.0030322129602500074,-0.0005100676527167459,0.0010780280363475176,0.001134734458111702,-0.12040443346729444,0.0,0.2622288295200893,1.5730521882337105,1,0,0.235
177.1750030517578,288143.0,2,20,50,-0.4967568255249546,-0.9996332784648416,-1.2007353357130626,-1.1333885143525606,0.002370785596599049,0.002765658161275257,0.0013566647488906566,0.0028600858079903648,0.0007104927779745964,68.86214555019117,-0.37649910620609717,-0.3542178647586165,0.0017519925077225304,0.0,0.0022369705989632007,0.0002831750551551902,0.00258340287327005,0.00042581659754258337,0.36075049704136425,0.0,0.271514892578125,9.806261457220431,1,0,0.09226190476190477
177.9600067138672,793393.0,2,20,55,-1.159688060240569,-1.71465117819875,-1.94641743350914,-1.8993036970941546,0.0019024979682325137,0.003586091230322408,0.0010467285036959008,0.001897329192996328,0.002383192832591463,84.72189659197909,-0.4324573233691922,-0.36986575648073167,0.005764690055312463,-0.0005086262950653418,0.0025208594986459586,-0.0008496793605709016,0.0028965439065202266,0.00011361544629291258,2.746785169513537,0.0,0.32722909109933035,24.359810722627422,1,0,0.235
178.67999267578125,345606.0,3,14,30,-1.7006574486160844,-2.3391611738338725,-2.6136033281871107,-2.5932270753365003,0.044997033297773895,0.005588606750846934,0.005449110659300074,0.0023503150419188516,0.0021572996302773443,68.2630689583443,-0.5288057204061261,-0.40165374926581054,0.008636741924986533,0.0006773645008287034,0.0022630489192892503,0.0003960810422560113,0.0039761257376200775,-2.834208427687772e-05,0.6321185532200252,0.0,0.38437107631138395,58.77275879905028,1,0,0.09226190476190477
